PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
DC-I-15057,GARY L. KULKA, ,1225 E ST NE,WASHINGTON,DC,20002,6337,DISTRICT OF COLUMBIA
DC-I-15062,RIDHA YACOUBI,VITIKULTE,1400 16TH ST NW,WASHINGTON,DC,20036,2217,DISTRICT OF COLUMBIA
DC-I-15063,"IL PIOPPO, LLC",IL PIOPPO,2052  W VIRGINIA AVE NE,WASHINGTON,DC,20002,0,DISTRICT OF COLUMBIA
DC-I-21001,"VALENTINE WINE, L.L.C.", ,1750 NW P ST,WASHINGTON,DC,20036,1364, 
DC-I-21002,WAYNE ENTERPRISES LLC,WAYNE LOGISTICS,320 TAYLOR ST NE,WASHINGTON,DC,20017,1521, 
DC-I-21003,ROBERT CRISTIAN SMERTCOV,SMERTCOV,"1875  I ST, NW ",WASHINGTON,DC,20006,5425, 
DC-I-21004,"OBSIDIAN, LLC",MAYALEN,"1864  CALIFORNIA ST., NW ",WASHINGTON,DC,20009,1809, 
DC-I-21005,"MARGARET RIVER IMPORTS, LLC", ,1201 PENNSYLVANIA AVE,WASHINGTON,DC,20004,0, 
DC-I-21006,"DIRECT DU DOMAINE, LLC", ,"4221  CONNECTICUT AVE., NW ",WASHINGTON,DC,20008,1164, 
DC-I-21007,ASSA IMPORTS INC.,ASSA IMPORTS,2300  M ST NW,WASHINGTON,DC,20037,1434,USA
DC-I-21008,DANGEROUS WINE GROUP L.L.C., ,1629  K ST NW,WASHINGTON,DC,20006,1631, 
DC-I-21009,A-B LLC,GOLDEN VINES IMPORTS,3314  PROSPECT ST NW,WASHINGTON,DC,20007,3216,District of Columbia
DC-I-21010,HERBERT L. HUTCHISON LLC, ,"139  NORTH CAROLINA AVE, SE ",WASHINGTON,DC,20003,0,U.S.
DC-I-21011,BARREL ONE INC., ,500  NE EMERSON ST,WASHINGTON,DC,20017,0, 
DC-I-21012,"GOINTRADING PARTNERS, LLC.", ,"2939  VAN NESS ST, NW ",WASHINGTON,DC,20008,4603, 
DC-I-21013,EXPERIENCE UMBRIA WINES LLC,EXPERIENCE UMBRIA WINES,1629  K ST NW,WASHINGTON,DC,20006,0, 
DC-I-21014,PAULA POORANI,ARTISANAL IMPORTERS,12  TIMBER CREED LN,NWARK,DC,19711,0, 
DC-I-21015,FEDERAL SPIRITS LLC,FEDERAL SPIRITS,1629  K ST NW,WASHINGTON,DC,20006,0,USA
DC-I-21016,"BLU SKYE DISTRIBUTION, INC.", ,1325  G ST,WASHINGTON,DC,20005,3136,USA
DC-I-21017,SHAUNA D RUSSELL,LOT 64,"1310  LOCUST RD, NW ",WASHINGTON,DC,20012,1319, 
DC-I-21018,MADIDUS LLC, ,2312  WOODRIDGE ST NE,WASHINGTON,DC,20018,0,US
DC-I-21019,"SPIRITS OF BRAZIL, LLC", ,5225  WISCONSIN AVE NW,WASHINGTON,DC,20015,2024, 
DC-I-255,"WOODLEY WINE AND LIQUOR, INC.",CALVERT WOODLEY,4339 CONNECTICUT AVE NW,WASHINGTON,DC,20008,2305,DISTRICT OF COLUMBIA
DC-I-256,ARIS A. ZISSIS, ,4626 WISCONSIN AVE NW,WASHINGTON,DC,20016,4625,DISTRICT OF COLUMBIA
DC-I-293,"WIDE WORLD IMPORTS, INC.", ,1523 22ND ST NW,WASHINGTON,DC,20037,1005,DISTRICT OF COLUMBIA
DC-I-296,AUSTRALIAN EXCHANGE CORPORATION, ,4626 YUMA ST NW,WASHINGTON,DC,20016,2046,DISTRICT OF COLUMBIA
DC-I-304,TABARD CORPORATION, ,1739 N ST NW,WASHINGTON,DC,20036,2803,DISTRICT OF COLUMBIA
DC-I-316,"LEE-IRVING LIQUORS, INC.",IRVING LIQUORS,3100 MOUNT PLEASANT ST NW,WASHINGTON,DC,20010,2710,DISTRICT OF COLUMBIA
DC-I-319,BUYET CORPORATION, ,600 RHODE ISLAND AVE NE,WASHINGTON,DC,20002,1233,DISTRICT OF COLUMBIA
DC-I-342,"DOPS, INC.", ,2611 EVARTS ST NE,WASHINGTON,DC,20018,1430,DISTRICT OF COLUMBIA
DC-I-345,"PORT DIXIE IMPORTS, INC.", ,2410 T ST NE,WASHINGTON,DC,20002,1919,DISTRICT OF COLUMBIA
DC-I-348,"OLD VIC DISTRIBUTORS, INC.", ,1015 18TH ST NW,WASHINGTON,DC,20036,5209,DISTRICT OF COLUMBIA
DC-I-349,HOWARD T. ROBINSON ENTERPRISES INC., ,934 RHODE ISLAND AVE NE,WASHINGTON,DC,20018,1734,DISTRICT OF COLUMBIA
DC-I-356,"A. V. IMPORTS, INC.", ,6856 EASTERN AVE NW,WASHINGTON,DC,20012,2112,DISTRICT OF COLUMBIA
DC-I-363,"EDUARD A. LOPEZ & CO., INC.", ,3213 FOXHALL RD NW,WASHINGTON,DC,20016,3434,DISTRICT OF COLUMBIA
DC-I-364,SER CORPORATION,GALILEO,1110 21ST ST NW,WASHINGTON,DC,20036,3303,DISTRICT OF COLUMBIA
DC-I-369,JOANNE GWEN HAMILTON,JIGSAW,1215 HALF ST SW,WASHINGTON,DC,20024,4109,DISTRICT OF COLUMBIA
DC-I-371,AUSTRALIAN GREAT ESTATES LTD., ,5016 LOWELL ST NW,WASHINGTON,DC,20016,2606,DISTRICT OF COLUMBIA
DC-I-375,NEW DA HSIN TRADING INC., ,811 7TH ST NW,WASHINGTON,DC,20001,3717,DISTRICT OF COLUMBIA
DC-I-377,"QUALITY BRANDS, INC.",INTERNATIONAL DISTRIBUTORS,3045 V ST NE,WASHINGTON,DC,20018,1520,DISTRICT OF COLUMBIA
DC-I-378,AO ENTERPRISE, ,2212 RHODE ISLAND AVE NE,WASHINGTON,DC,20018,2827,DISTRICT OF COLUMBIA
DC-I-384,"KERLIN WINES, INC.", ,3303 DENT PL NW,WASHINGTON,DC,20007,2713,DISTRICT OF COLUMBIA
DC-I-386,"KBH GLOBAL ENTERPRISES,  LTD.", ,888 16TH ST NW,WASHINGTON,DC,20006,4103,DISTRICT OF COLUMBIA
DC-I-388,MACARTHUR LIQUORS INC., ,4877 MACARTHUR BLVD NW,WASHINGTON,DC,20007,1578,DISTRICT OF COLUMBIA
DC-I-391,"OASIS INTERNATIONAL, INC.", ,1901 L ST NW,WASHINGTON,DC,20036,3529,DISTRICT OF COLUMBIA
DC-I-392,"CAPITAL EAGLE, INC.", ,2815 V ST NE,WASHINGTON,DC,20018,1516,DISTRICT OF COLUMBIA
DC-I-393,"FRANKLIN SELECTIONS, INC.", ,1101 2ND ST NE,WASHINGTON,DC,20002,3403,DISTRICT OF COLUMBIA
DC-I-394,"HERITAGE INTERNATIONAL, LLC", ,805 15TH ST NW,WASHINGTON,DC,20005,2289,DISTRICT OF COLUMBIA
DC-I-400,"PHIZULU HOLDINGS, LTD.",FINEST CAPE WINES,4101 CATHEDRAL AVE NW,WASHINGTON,DC,20016,3598,DISTRICT OF COLUMBIA
DC-I-401,ANTHONY F. OPARE,GHANA CAFE,2305 18TH ST NW,WASHINGTON,DC,20009,1834,DISTRICT OF COLUMBIA
DC-I-402,"ROBERT WHALE SELECTIONS, LTD.", ,5428 HAWTHORNE PL NW,WASHINGTON,DC,20016,2667,DISTRICT OF COLUMBIA
DC-I-403,SCHNEIDER'S LIQUOR CO.,SCHNEIDER'S OF CAPITOL HILL,300 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002,5702,DISTRICT OF COLUMBIA
DC-I-406,VINOSMIOS DE ESPANA L.L.C., ,1818 NEW YORK AVE NE,WASHINGTON,DC,20002,1848,DISTRICT OF COLUMBIA
DC-I-407,"WASHINGTON WHOLESALE LIQUOR COMPANY, LLC", ,2800 V ST NE,WASHINGTON,DC,20018,1517,DISTRICT OF COLUMBIA
DC-I-408,"ELITE WINES IMPORTS, INC.",ELITE WINES,1832 FENWICK ST NE,WASHINGTON,DC,20002,1710,DISTRICT OF COLUMBIA
DC-I-409,"AMERICAN GOURMET FOODS, INC.", ,3525 V ST NE,WASHINGTON,DC,20018,1530,DISTRICT OF COLUMBIA
DC-I-411,"PEARSON'S WINE IMPORTING CO., INC.",PEARSON'S,2436 WISCONSIN AVE NW,WASHINGTON,DC,20007,1845,DISTRICT OF COLUMBIA
DC-I-413,A. V. RISTORANTE ITALIANO, ,607 NEW YORK AVE NW,WASHINGTON,DC,20001,3626,DISTRICT OF COLUMBIA
DC-I-414,"HOUSE OF WINES, INC.", ,6500 CHILLUM PL NW,WASHINGTON,DC,20012,2136,DISTRICT OF COLUMBIA
DC-I-416,"DCV, L.L.C.", ,1312 MASSACHUSETTS AVE NW,WASHINGTON,DC,20005,4173,DISTRICT OF COLUMBIA
DC-I-418,"VINTAGE '59 IMPORTS, LLC", ,2800 JENNIFER ST NW,WASHINGTON,DC,20015,1336,DISTRICT OF COLUMBIA
DC-I-419,"PILSNER URQUELL USA, INC.", ,1201 PENNSYLVANIA AVE NW,WASHINGTON,DC,20004,2436,DISTRICT OF COLUMBIA
DC-I-420,"WINEBOW, INC.", ,500 EMERSON ST NE,WASHINGTON,DC,20011,6318,DISTRICT OF COLUMBIA
DE-I-15000,"WH GROUP, INC.",SELECT WINE IMPORTS,1409 FOULK RD,WILMINGTON,DE,19803,2755,NEW CASTLE
DE-I-15001,J.V. IMPORTERS INC., ,5616 KIRKWOOD  HWY,WILMINGTON,DE,19808,5004,NEW CASTLE
DE-I-15002,"DELMAR WINES, LLC", ,522 CINDY LN,SMYRNA,DE,19977,1606,KENT
DE-I-15003,"SOUTHERN GRAPES, LLC", ,1220 N MARKET ST,WILMINGTON,DE,19801,2598,NEW CASTLE
DE-I-15007,EMPEROR'S BRAND LLC,EMPEROR'S BRAND,3501 SILVERSIDE RD,WILMINGTON,DE,19810,4910,NEW CASTLE
DE-I-15008,GRAPE SOLUTIONS INC.,GRAPE SOLUTIONS,3210 WILSON AVE,WILMINGTON,DE,19808,6212,NEW CASTLE
DE-I-15009,"CITIZEN SPIRITS, LLC",CITIZEN SPIRITS,1000 N WEST ST,WILMINGTON,DE,19801,1050,NEW CASTLE
DE-I-15010,"N.K.S. DISTRIBUTORS, INC.", ,399 NEW CHURCHMANS ROAD,NEW CASTLE,DE,19720,3111,NEW CASTLE
DE-I-15012,"LE SUD OUEST, INC.",LE SUD OUEST,2711 CENTERVILLE RD,WILMINGTON,DE,19808,1645,NEW CASTLE
